Latitude,Longitude,Station Name,Station Status
40.799114,-73.962571,W 106 ST/COLUMBUS AV,at stop
40.803701,-73.948555,MALCOLM X B / W 119 ST,at stop
40.746478,-73.990199,AV OF THE AMERICAS/W 29 ST,at stop
40.821252,-73.936088,146 ST/LENOX AV,at stop
40.787807,-73.974928,AMSTERDAM AV/W 86 ST,at stop
40.790848,-73.972708,AMSTERDAM AV/W 91 ST,approaching
40.751221,-73.990453,7 AV/W 34 ST,approaching
40.753093,-73.985374,AV OF THE AMERICAS/W 40 ST,approaching
40.741088,-73.997835,7 AV/WEST 17 STREET,approaching
40.814467,-73.940687,MALCOLM X BL/W 135 ST,approaching
40.792157,-73.968036,COLUMBUS AV/W 94 ST,approaching
40.768628,-73.982196,COLUMBUS CIR/8 AV,approaching
40.7731,-73.981944,BROADWAY/W 64 ST,< 1 stop away
40.803569,-73.95335,W 116 ST/FRED DOUGLASS BL,< 1 stop away
40.755384,-73.98372,AV OF THE AMERICAS/W 45 ST,< 1 stop away
40.796744,-73.964683,COLUMBUS AV/W 100 ST,< 1 stop away
40.772044,-73.98208,BROADWAY/W 66 ST,< 1 stop away
40.765717,-73.979893,7 AV/W 54 ST,< 1 stop away
40.759962,-73.984091,7 AV/W 44 ST,< 1 stop away
